Lolita, Vladimir Nabokov
The Great Gatsby, F. Scott Fitzgerald
In Search of Lost Time, Marcel Proust
Ulysses, James Joyce
Dubliners, James Joyce
One Hundred Years of Solitude, Gabriel Garcia Marquez
The Sound and the Fury, William Faulkner
To The Lighthouse, Virginia Woolf
Pale Fire, Vladimir Nabokov
Anna Karenina, Leo Tolstoy
Madame Bovary, Gustave Flaubert
War and Peace, Leo Tolstoy
The Adventures of Huckleberry Finn, Mark Twain
Middlemarch, George Eliot
Moby-Dick, Herman Melville
Great Expectations, Charles Dickens
Crime and Punishment, Fyodor Dostoevsky
Emma, Jane Austen
The Lord of the Rings, J. R. R. Tolkien
Harry Potter and the Sorcerer's Stone, J. K. Rowling
